edu	sex	exper	wage	age	occup
16	0	18	24.98	41	1
14	0	21	16.65	42	1
14	0	2	6.25	22	1
12	1	4	4.55	22	1
12	1	30	11.25	49	1
13	0	32	21.25	54	1
17	1	13	12.65	36	1
12	0	17	7.5	36	1
14	1	26	10.25	48	1
16	0	9	3.35	32	1
16	0	8	13.45	31	1
15	0	1	4.84	22	1
17	0	32	26.29	58	1
12	1	24	6.58	44	1
12	0	42	15	63	1
16	1	3	11.25	25	1
12	1	32	7	53	1
14	0	22	10	43	1
16	0	18	14.53	41	1
18	1	19	20	44	1
15	0	12	22.5	34	1
12	1	42	3.64	63	1
12	0	34	10.62	53	1
18	0	29	24.98	53	1
16	0	8	6	30	1
18	0	13	19	38	1
16	0	10	13.2	32	1
16	0	22	22.5	44	1
16	0	10	15	32	1
17	1	15	6.88	39	1
12	0	26	11.84	46	1
14	0	16	16.14	37	1
18	1	14	13.95	39	1
12	1	38	13.16	57	1
12	0	14	5.3	33	1
12	1	7	4.5	25	1
18	1	13	10	37	1
10	0	20	10	37	1
16	0	7	10	30	1
16	1	26	9.37	50	1
16	0	14	5.8	37	1
13	0	36	17.86	56	1
14	0	41	8.8	65	1
16	0	7	9	30	1
17	0	14	18.16	37	1
12	1	1	7.81	19	1
16	1	6	10.62	29	1
12	1	3	4.5	21	1
15	0	31	17.25	54	1
13	1	14	10.5	34	1
14	1	13	9.22	34	1
16	0	26	15	48	1
18	0	14	22.5	39	1
13	1	33	4.55	54	2
12	0	16	9	36	2
18	0	10	13.33	34	2
14	0	22	15	42	2
14	0	2	7.5	22	2
12	1	29	4.25	49	2
12	0	43	12.5	62	2
12	1	5	5.13	23	2
16	1	14	3.35	36	2
12	0	28	11.11	49	2
11	1	25	3.84	42	2
12	1	45	6.4	67	2
14	0	5	5.56	25	2
12	0	20	10	38	2
16	1	6	5.65	28	2
16	0	16	11.5	39	2
11	1	33	3.5	51	2
13	1	2	3.35	21	2
12	1	10	4.75	28	2
14	0	44	19.98	65	2
14	1	6	3.5	27	2
12	1	15	4	34	2
12	0	5	7	23	2
13	1	4	6.25	23	2
14	0	14	4.5	35	2
14	1	32	14.29	54	2
12	1	14	5	32	2
14	0	21	13.75	42	2
12	0	43	13.71	65	2
12	1	27	7.5	46	2
12	1	4	3.8	22	2
14	0	0	5	20	2
12	0	32	9.42	53	2
12	0	20	5.5	39	2
15	0	4	3.75	25	2
12	0	34	3.5	55	2
13	0	5	5.8	24	2
17	0	13	12	36	2
14	1	17	5	38	3
13	1	10	8.75	30	3
16	1	7	10	29	3
12	1	25	8.5	44	3
12	1	18	8.63	37	3
16	1	27	9	51	3
16	1	2	5.5	24	3
13	0	13	11.11	32	3
14	1	24	10	44	3
18	1	13	5.2	38	3
14	1	15	8	36	3
12	1	12	3.56	30	3
12	1	24	5.2	43	3
12	1	43	11.67	64	3
12	1	13	11.32	31	3
12	1	16	7.5	36	3
11	1	24	5.5	41	3
16	1	4	5	26	3
12	1	24	7.75	44	3
12	1	45	5.25	63	3
12	0	20	9	39	3
12	1	38	9.65	56	3
18	0	10	5.21	34	3
11	1	16	7	34	3
12	1	32	12.16	51	3
16	1	2	5.25	24	3
13	1	28	10.32	48	3
16	0	3	3.35	25	3
13	1	8	7.7	28	3
12	1	44	9.17	63	3
12	0	12	8.43	30	3
12	0	8	4	26	3
12	1	4	4.13	22	3
12	1	28	3	47	3
13	1	0	4.25	19	3
14	0	1	7.53	21	3
14	1	12	10.53	33	3
12	1	39	5	59	3
12	1	24	15.03	43	3
17	1	32	11.25	57	3
16	0	4	6.25	26	3
12	1	25	3.5	45	3
12	0	8	6.85	27	3
13	1	16	12.5	35	3
12	0	5	12	23	3
13	0	31	6	51	3
12	1	25	9.5	43	3
12	1	15	4.1	34	3
14	1	15	10.43	36	3
12	1	0	5	18	3
12	0	19	7.69	37	3
12	1	21	5.5	40	3
12	1	6	6.4	24	3
12	1	14	12.5	33	3
13	1	30	6.25	51	3
12	1	8	8	27	3
9	0	33	9.6	50	3
13	0	16	9.1	36	3
12	1	20	7.5	39	3
13	1	6	5	25	3
12	1	10	7	29	3
13	1	1	3.55	20	3
12	0	2	8.5	20	3
13	1	0	4.5	19	3
16	0	17	7.88	40	3
12	1	8	5.25	27	3
12	0	4	5	22	3
12	1	15	9.33	34	3
12	1	29	10.5	48	3
12	1	23	7.5	43	3
12	1	39	9.5	58	3
12	1	14	9.6	33	3
17	1	6	5.87	29	3
14	0	12	11.02	33	3
12	1	26	5	46	3
14	1	32	5.62	53	3
15	1	6	12.5	27	3
12	1	40	10.81	60	3
12	1	18	5.4	36	3
11	1	12	7	30	3
12	1	36	4.59	55	3
12	1	19	6	38	3
16	1	42	11.71	67	3
13	1	2	5.62	21	3
12	1	33	5.5	54	3
12	1	14	4.85	33	3
12	0	22	6.75	40	3
12	1	20	4.25	39	3
12	1	15	5.75	34	3
12	0	35	3.5	56	3
12	1	7	3.35	25	3
12	1	45	10.62	65	3
12	1	9	8	27	3
12	1	2	4.75	20	3
17	0	3	8.5	26	3
14	1	19	8.85	41	3
12	1	14	8	33	3
4	0	54	6	67	4
14	0	17	7.14	38	4
8	1	29	3.4	45	4
15	1	26	6	47	4
2	0	16	3.75	25	4
8	1	29	8.89	43	4
11	1	20	4.35	39	4
10	1	38	13.1	58	4
8	1	37	4.35	53	4
9	0	48	3.5	66	4
12	1	16	3.8	35	4
8	1	38	5.26	56	4
14	0	0	3.35	20	4
12	0	14	16.26	33	4
12	1	2	4.25	20	4
16	0	21	4.5	44	4
13	1	15	8	35	4
16	1	20	4	43	4
14	1	12	7.96	32	4
12	0	7	4	25	4
11	0	4	4.15	21	4
13	0	9	5.95	29	4
12	1	43	3.6	63	4
10	0	19	8.75	36	4
8	1	49	3.4	64	4
12	1	38	4.28	58	4
12	1	13	5.35	32	4
12	1	14	5	33	4
12	0	20	7.65	39	4
12	1	7	6.94	26	4
12	1	9	7.5	27	4
12	1	6	3.6	24	4
12	1	5	1.75	23	4
13	1	1	3.45	20	4
14	0	22	9.63	43	4
12	1	24	8.49	44	4
12	1	15	8.99	33	4
11	1	8	3.65	25	4
11	1	17	3.5	36	4
12	0	2	3.43	20	4
12	0	20	5.5	40	4
12	0	26	6.93	46	4
10	1	37	3.51	55	4
12	1	41	3.75	63	4
12	1	27	4.17	47	4
12	1	5	9.57	23	4
14	0	16	14.67	38	4
14	1	19	12.5	40	4
12	0	10	5.5	29	4
13	0	1	5.15	20	4
12	1	43	8	62	4
13	0	3	5.83	22	4
12	1	0	3.35	18	4
12	1	26	7	45	4
10	1	25	10	43	4
12	1	15	8	33	4
14	1	10	6.88	31	4
11	1	45	5.55	63	4
11	0	3	7.5	20	4
8	0	47	8.93	64	4
16	1	6	9	28	4
10	1	33	3.5	52	4
16	0	3	5.77	25	4
14	0	4	25	24	4
14	0	34	6.85	56	4
11	0	39	6.5	57	4
12	1	17	3.75	36	4
9	0	47	3.5	64	4
11	0	2	4.5	19	4
13	0	0	2.01	19	4
14	1	24	4.17	44	4
12	0	25	13	43	4
14	1	6	3.98	26	4
12	1	10	7.5	28	4
12	1	33	13.12	53	4
12	0	12	4	31	4
12	1	9	3.95	27	4
11	0	18	13	36	4
12	0	10	9	28	4
8	1	45	4.55	61	4
9	1	46	9.5	65	4
7	0	14	4.5	28	4
11	1	36	8.75	55	4
13	0	34	10	55	5
18	0	15	18	39	5
17	0	31	24.98	55	5
16	1	6	12.05	28	5
14	0	15	22	35	5
12	0	30	8.75	50	5
18	0	8	22.2	33	5
18	0	5	17.25	29	5
17	1	3	6	26	5
13	0	17	8.06	37	5
16	0	5	9.24	27	5
14	1	10	12	31	5
15	1	33	10.61	57	5
18	0	3	5.71	27	5
16	1	0	10	18	5
16	0	13	17.5	36	5
18	0	12	15	37	5
16	1	6	7.78	28	5
17	0	7	7.8	30	5
16	0	14	10	36	5
17	1	5	24.98	28	5
15	1	10	10.28	32	5
18	1	11	15	35	5
17	1	24	12	48	5
16	0	9	10.58	31	5
18	0	12	5.85	37	5
18	0	19	11.22	45	5
14	1	14	8.56	35	5
16	1	17	13.89	40	5
18	0	7	5.71	31	5
18	0	7	15.79	31	5
16	1	22	7.5	45	5
12	1	28	11.25	48	5
16	1	16	6.15	39	5
16	0	16	13.45	38	5
16	1	7	6.25	30	5
12	1	11	6.5	29	5
12	1	11	12	30	5
12	1	16	8.5	36	5
18	0	33	8	57	5
12	1	21	5.75	39	5
16	0	4	15.73	26	5
15	0	13	9.86	35	5
18	0	14	13.51	39	5
16	1	10	5.4	33	5
18	0	14	6.25	39	5
16	0	29	5.5	53	5
12	0	4	5	22	5
18	0	27	6.25	53	5
12	0	3	5.75	21	5
16	0	14	20.5	36	5
14	0	0	5	20	5
18	0	33	7	58	5
16	0	38	18	62	5
18	1	18	12	42	5
17	0	3	20.4	26	5
18	1	40	22.2	68	5
14	0	19	16.42	40	5
14	1	4	8.63	24	5
16	1	11	19.38	34	5
16	1	16	14	38	5
14	0	22	10	43	5
17	1	13	15.95	37	5
16	1	28	20	51	5
16	1	10	10	32	5
16	1	5	24.98	27	5
15	0	5	11.25	26	5
18	1	37	22.83	65	5
17	1	26	10.2	49	5
16	1	4	10	26	5
18	1	31	14	57	5
17	1	13	12.5	36	5
12	1	42	5.79	63	5
17	0	18	24.98	42	5
12	1	3	4.35	21	5
17	1	10	11.25	33	5
16	1	10	6.67	32	5
16	1	17	8	39	5
18	0	7	18.16	31	5
16	1	14	12	37	5
16	1	22	8.89	46	5
17	1	14	9.5	38	5
16	0	11	13.65	33	5
18	0	23	12	48	5
12	0	39	15	58	5
16	0	15	12.67	38	5
14	1	15	7.38	36	5
16	0	10	15.56	32	5
12	1	25	7.45	45	5
14	1	12	6.25	32	5
16	1	7	6.25	29	5
17	0	7	9.37	31	5
16	0	17	22.5	40	5
16	0	10	7.5	33	5
17	0	2	7	25	5
9	1	34	5.75	50	5
15	1	11	7.67	32	5
15	0	10	12.5	32	5
12	0	12	16	31	5
16	1	6	11.79	28	5
18	0	5	11.36	29	5
12	1	33	6.1	54	5
17	1	25	23.25	49	5
12	0	13	19.88	31	5
16	0	33	15.38	56	5
