parent ht	child ht
68,25	63,54
68,86	63,52
68,30	63,60
68,01	63,66
68,41	63,63
68,23	63,07
65,82	65,13
65,54	64,76
65,70	65,38
65,26	64,92
65,08	65,01
65,30	65,08
65,81	65,47
65,69	67,90
65,74	68,07
65,18	68,07
65,33	68,41
65,81	68,01
65,74	68,22
65,88	68,07
65,18	68,73
65,46	69,00
65,58	69,14
65,36	68,87
65,59	69,27
65,44	69,63
65,16	69,64
65,22	62,96
65,59	63,64
65,65	63,13
65,78	63,22
65,01	63,65
65,09	62,73
65,97	63,49
65,16	62,73
65,24	63,55
71,36	70,23
71,95	70,03
71,00	70,60
71,98	70,62
71,02	70,23
71,40	70,15
71,05	70,68
71,80	70,24
71,43	69,77
71,12	70,45
68,12	64,08
68,12	64,55
68,45	64,33
68,55	64,24
68,03	63,98
68,50	64,51
68,61	64,24
68,84	64,63
68,02	63,96
68,93	63,91
68,53	64,00
67,04	71,12
67,44	70,74
67,96	70,78
67,71	71,47
67,86	71,08
67,36	70,83
67,39	71,42
67,53	70,82
67,71	70,84
67,94	71,04
67,43	71,60
67,51	72,34
67,59	71,83
67,13	72,34
67,28	71,97
67,79	72,01
67,36	72,59
67,54	72,04
67,72	72,34
67,67	71,75
67,06	71,98
67,13	71,74
65,87	65,91
65,51	66,42
65,89	66,43
65,48	66,02
65,62	66,07
65,45	66,47
65,26	66,63
65,31	66,38
65,95	65,73
65,47	66,27
65,83	66,43
65,03	67,30
65,58	66,99
65,31	66,94
65,79	67,27
65,97	67,03
65,22	67,06
65,54	66,89
65,21	67,17
65,12	66,97
65,83	67,12
65,46	66,82
70,97	68,38
70,88	68,12
70,12	68,16
70,15	68,25
70,83	68,67
70,89	68,61
70,87	68,44
70,20	68,54
70,29	68,60
70,21	67,79
70,00	68,65
70,58	68,38
66,86	69,59
66,06	68,75
66,32	69,33
66,15	69,65
66,21	69,11
66,38	68,89
66,63	68,71
66,16	68,73
66,93	68,91
66,27	69,32
66,15	69,46
66,41	69,08
66,39	69,50
70,80	69,80
70,13	70,60
70,30	70,29
70,44	69,93
70,15	69,91
70,29	69,99
70,52	70,24
70,25	69,95
70,43	70,16
70,28	70,61
70,47	70,70
70,35	70,66
70,40	69,91
70,59	70,21
67,36	64,02
67,91	63,79
67,26	64,46
67,18	64,34
67,96	64,15
67,35	64,58
67,70	64,55
67,22	64,49
67,88	64,69
67,52	64,49
67,63	64,46
67,28	64,33
67,58	64,23
67,30	63,76
66,45	67,82
66,34	68,65
66,72	68,62
66,97	67,93
66,48	68,60
66,82	68,17
66,24	68,54
66,19	68,39
66,44	68,22
66,26	68,69
66,72	67,88
66,95	68,14
66,41	68,18
66,60	67,86
67,36	65,33
67,34	65,69
67,38	65,41
67,88	64,90
67,25	64,79
67,41	65,38
67,65	65,44
67,16	65,65
67,17	64,89
67,08	65,10
67,30	64,76
67,58	65,32
67,54	65,26
67,37	65,55
67,92	65,53
69,33	64,17
69,94	63,86
69,76	64,01
69,84	63,75
69,42	64,62
69,70	64,01
69,15	64,03
69,11	64,37
69,12	63,98
69,97	64,41
69,11	64,68
69,37	64,22
69,77	64,31
69,80	63,76
69,90	63,91
69,91	64,34
68,05	65,52
68,60	65,34
68,00	64,71
68,06	65,56
68,28	65,37
68,68	65,17
68,58	65,52
68,23	64,90
68,81	65,36
68,95	64,96
68,63	64,72
68,73	65,70
68,22	65,20
68,73	64,70
68,28	65,41
68,59	65,00
69,26	65,89
69,64	65,92
69,97	66,56
69,68	66,04
69,24	66,01
69,51	66,43
69,92	66,64
69,28	66,49
69,91	66,36
69,35	65,89
69,70	65,78
69,31	66,23
69,46	66,51
69,24	66,61
69,30	66,54
69,51	66,28
69,68	66,31
66,24	66,14
66,44	66,52
66,66	65,78
66,95	66,06
66,16	66,17
66,58	65,72
66,31	66,46
66,06	66,33
66,26	65,95
66,41	65,80
66,82	66,65
66,58	66,10
66,78	66,12
66,11	66,53
66,43	66,24
66,68	66,26
66,34	65,92
66,42	67,12
66,17	67,60
66,26	67,06
66,03	66,77
66,59	66,95
66,02	66,83
66,20	66,72
66,45	67,17
66,29	67,48
66,57	67,50
66,55	67,56
66,23	66,86
66,68	67,68
66,23	67,10
66,63	67,03
66,52	67,36
66,56	66,79
70,39	69,45
70,64	69,00
70,93	69,55
70,92	68,82
70,66	69,23
70,97	69,51
70,27	69,68
70,67	69,60
70,38	68,86
70,67	69,57
70,74	69,31
70,08	68,74
70,73	69,10
70,28	69,12
70,88	69,62
70,47	69,27
70,48	69,29
70,52	69,61
68,87	71,63
68,85	71,45
68,86	70,73
68,07	71,55
68,54	71,66
68,07	71,45
68,44	71,27
68,87	71,31
68,66	71,68
68,92	71,30
68,59	71,39
68,13	71,59
68,90	70,83
68,14	70,99
68,39	70,93
68,69	70,83
68,97	70,79
68,42	71,01
68,53	71,77
68,66	71,95
68,38	72,16
68,53	72,19
68,19	72,55
68,12	71,78
68,37	71,80
68,73	72,17
68,21	71,89
68,83	72,43
68,33	71,96
68,30	72,43
68,76	71,95
68,66	72,09
68,33	72,34
68,71	72,04
68,76	71,98
68,71	72,45
67,13	70,01
67,06	70,20
67,19	69,74
67,82	70,22
67,17	69,96
67,26	69,73
67,56	70,18
67,53	69,97
67,06	70,64
67,78	70,48
67,79	70,53
67,04	69,77
67,94	70,05
67,27	69,84
67,65	70,12
67,37	69,80
67,19	70,65
67,93	70,49
67,99	69,92
69,13	68,47
69,16	67,82
69,95	68,33
69,09	68,38
69,23	68,23
69,99	68,12
69,93	67,84
69,12	68,38
69,92	68,52
69,47	67,96
69,51	67,90
69,19	67,87
69,39	68,11
69,94	68,07
69,12	68,06
69,03	68,10
69,41	68,33
69,10	68,29
69,25	68,65
69,58	67,99
69,23	71,27
69,91	71,06
69,94	71,42
69,69	71,55
69,23	71,65
69,24	71,27
69,01	71,18
69,19	70,78
69,42	71,28
69,55	71,61
69,65	71,27
69,49	71,11
69,51	70,98
69,31	71,35
69,99	71,06
69,05	70,82
69,44	71,64
69,38	71,49
69,26	71,63
69,63	71,37
69,12	72,51
69,04	72,24
69,96	72,59
69,07	72,12
69,47	72,32
69,91	71,91
69,97	72,22
69,18	72,47
69,24	72,29
69,51	71,99
69,80	72,05
69,57	71,81
69,76	72,68
69,58	72,60
69,92	71,84
69,15	72,25
69,36	71,87
69,00	72,04
69,50	72,26
69,80	71,73
68,23	69,75
68,50	69,72
68,33	70,13
68,38	70,26
68,65	70,25
68,74	70,05
68,43	70,54
68,23	69,93
68,52	69,92
68,21	70,68
68,99	69,72
68,35	70,65
68,68	70,27
68,51	70,66
68,10	70,01
68,77	69,95
68,44	69,96
68,21	69,83
68,16	69,72
68,79	69,98
68,50	70,32
69,18	70,11
69,17	70,30
69,91	70,07
69,74	70,46
69,38	69,98
69,86	70,61
69,20	69,86
69,16	70,44
69,05	69,73
69,96	70,64
69,62	70,42
69,30	70,61
69,31	69,89
69,45	70,54
69,31	70,46
69,55	69,81
69,09	70,34
69,20	70,30
69,24	69,90
69,63	70,36
69,45	70,54
69,69	69,91
69,30	69,94
69,62	70,61
69,08	70,44
68,33	66,39
68,16	66,03
68,83	65,99
68,22	66,33
68,10	66,42
68,99	65,70
68,99	66,25
68,61	66,40
68,97	66,10
68,44	65,71
68,87	65,99
68,90	66,14
68,74	66,45
68,85	66,57
68,95	65,96
68,94	66,39
68,94	66,24
68,23	65,75
68,24	66,39
68,46	66,23
68,33	65,79
68,88	65,78
68,79	65,78
68,72	66,32
68,57	66,21
69,18	67,37
69,03	67,40
69,25	67,11
69,77	66,84
69,46	66,92
69,54	66,93
69,67	67,49
69,36	67,32
69,57	67,52
69,31	67,48
69,52	67,16
69,03	67,06
69,90	67,69
69,08	67,51
69,03	67,34
69,12	67,49
69,48	67,12
69,94	66,73
69,90	67,24
69,39	66,90
69,06	67,54
69,62	67,63
69,94	66,81
69,36	67,30
69,70	67,11
69,75	67,69
69,68	67,09
67,13	68,02
67,70	68,24
67,54	67,89
67,71	67,82
67,14	68,49
67,58	68,48
67,06	68,54
67,01	68,65
67,48	67,98
67,78	68,24
67,65	68,21
67,90	68,46
67,28	67,73
67,79	68,02
67,61	68,59
67,94	68,25
67,02	68,19
67,58	67,95
67,76	68,10
67,36	68,12
67,92	67,85
67,82	68,13
67,86	68,23
67,38	68,66
67,49	68,37
67,78	67,92
67,68	68,23
67,05	68,48
68,45	67,43
68,54	67,34
68,62	67,24
68,87	67,02
68,87	67,22
68,32	66,86
68,59	67,44
68,85	67,42
68,88	67,69
68,49	66,80
68,17	67,39
68,32	67,66
68,90	67,65
68,19	67,51
68,74	67,04
68,13	66,70
68,51	66,88
68,07	67,63
68,58	67,57
68,51	66,78
68,02	67,23
68,08	67,47
68,58	67,64
68,26	67,65
68,99	66,93
68,72	67,10
68,60	67,16
68,55	67,00
68,55	67,09
68,92	66,81
68,21	67,15
69,98	69,62
69,81	69,57
69,77	68,77
69,74	68,81
69,20	68,80
69,39	69,21
69,26	69,60
69,29	69,33
69,67	69,37
69,10	68,72
69,37	69,41
69,88	69,64
69,02	68,84
69,99	69,02
69,58	69,34
69,20	69,61
69,43	69,29
69,80	69,39
69,17	68,88
69,15	68,78
69,48	69,12
69,79	69,41
69,40	69,22
69,71	69,33
69,11	69,58
69,32	68,80
69,89	68,80
69,25	69,25
69,85	69,07
69,93	69,16
69,34	69,27
69,91	69,36
69,16	69,17
68,38	68,00
68,84	68,17
68,08	68,31
68,00	68,43
68,38	68,67
68,02	68,39
68,61	68,07
68,39	68,67
68,43	67,83
68,20	67,84
68,83	68,09
68,15	68,12
68,53	68,09
68,81	68,27
68,02	68,67
68,59	68,03
68,27	68,22
68,27	67,81
68,35	68,64
68,34	67,90
68,97	67,84
68,52	68,11
68,91	67,96
68,00	68,24
68,21	67,86
68,55	68,51
68,99	68,34
68,93	67,91
68,83	68,51
68,90	68,35
68,06	68,43
68,73	67,79
68,43	68,36
68,70	67,81
67,72	65,73
67,89	66,12
67,40	66,12
67,05	66,16
67,09	65,75
67,97	66,03
67,86	66,61
67,40	66,07
67,73	66,62
67,96	66,65
67,13	65,72
67,71	65,82
67,77	66,60
67,11	66,43
67,37	66,66
67,04	65,90
67,29	66,69
67,76	65,92
67,99	66,45
67,39	66,03
67,53	65,92
67,75	65,72
67,33	65,89
67,33	65,95
67,07	66,37
67,66	65,77
67,31	65,91
67,41	66,07
67,52	66,53
67,57	65,84
67,58	66,62
67,74	66,41
67,83	66,14
67,64	66,30
67,83	65,91
67,80	65,77
67,90	67,06
67,08	66,88
67,73	66,99
67,87	67,58
67,41	67,21
67,94	66,77
67,26	67,60
67,09	67,49
67,62	67,36
67,22	66,73
67,88	67,37
67,63	67,12
67,19	67,57
67,66	67,24
67,18	67,03
67,93	66,85
67,52	67,20
67,88	66,79
67,68	67,00
67,38	67,32
67,88	67,36
67,13	67,12
67,25	66,98
67,65	67,38
67,76	67,40
67,26	67,44
67,79	67,09
67,84	67,16
67,66	66,72
67,28	67,63
67,88	67,25
67,66	67,07
67,76	67,26
67,11	67,36
67,71	67,25
67,96	67,30
67,76	66,94
67,79	67,09
67,25	69,28
67,70	68,75
67,34	69,49
67,87	68,87
67,94	69,33
67,64	68,89
67,35	68,98
67,16	69,12
67,68	69,20
67,01	69,40
67,40	69,37
67,64	68,97
67,61	69,63
67,30	69,30
67,85	69,42
67,64	69,66
67,39	69,18
67,38	69,26
67,86	69,40
67,09	69,37
67,39	69,43
67,34	68,73
67,57	68,74
67,05	68,98
67,64	69,18
68,00	68,88
67,01	69,25
67,16	69,36
67,82	69,00
67,53	69,64
67,80	68,97
67,42	69,40
67,25	69,14
67,28	69,03
67,28	69,16
67,71	69,54
67,04	68,88
67,15	69,10
68,18	68,76
68,62	69,02
68,48	69,44
68,50	69,47
68,32	69,61
68,01	69,49
68,81	69,57
68,15	69,02
68,54	68,79
68,74	69,30
68,30	68,81
68,31	69,60
68,45	69,47
68,11	69,18
68,01	69,66
68,05	69,24
68,01	69,56
68,40	69,43
68,01	69,60
68,15	68,97
68,58	69,49
68,08	69,44
68,44	69,23
68,86	69,46
68,62	69,55
68,97	68,71
68,25	69,40
68,54	68,72
68,41	69,09
68,14	69,13
68,00	69,68
68,70	69,12
68,18	68,80
68,60	69,67
68,43	69,04
68,21	68,84
68,99	69,67
68,67	69,28
68,33	68,97
68,46	69,10
68,59	68,75
68,15	69,16
68,42	69,03
68,13	69,29
68,80	69,16
68,04	69,12
68,67	69,12
68,26	69,30
