x	status
1.7842	dead
1.7842	dead
1.7842	dead
1.7842	dead
1.7842	dead
1.7842	dead
1.7842	dead
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.7842	alive
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	dead
1.8113	alive
1.8113	alive
1.8113	alive
1.8113	alive
1.8113	alive
1.8113	alive
1.8113	alive
1.8113	alive
1.8113	alive
1.8113	alive
1.8113	alive
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	dead
1.8369	alive
1.8369	alive
1.8369	alive
1.8369	alive
1.8369	alive
1.8369	alive
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	dead
1.861	alive
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
1.8839	dead
